1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,
2,0|2,|2,|2,|2,|2,|2,|2,|2,|2,|2,|2,|2,|2,1|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,
1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|2,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,
1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|2,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,
1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|2,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,
1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|2,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,
1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|2,2|2,|2,|2,|2,|2,3|1,|1,|1,|1,|1,|1,
1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|2,|1,|1,|1,|1,|1,|1,
1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|2,|1,|1,|1,|1,|1,|1,
1,|1,|1,|1,|1,|1,|1,|1,|1,|2,5|2,|2,|2,|2,|2,|2,|2,|2,|2,4|1,|1,|1,|1,|1,|1,
1,|1,|1,|1,|1,|1,|1,|1,|1,|2,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,
2,9|2,|2,|2,8|1,|1,|1,|1,|1,|2,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,
2,|1,|1,|2,|1,|1,|1,|1,|1,|2,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,
2,|1,|1,|2,|1,|1,|1,|1,|1,|2,|1,|1,|1,|2,13|2,|2,|2,|2,|2,|2,|2,12|1,|1,|1,|1,
2,|1,|1,|2,|1,|1,|1,|1,|1,|2,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|2,|1,|1,|1,|1,
2,|1,|1,|2,|1,|1,|1,|1,|1,|2,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|2,|1,|1,|1,|1,
2,|1,|1,|2,|1,|1,|1,|1,|1,|2,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|2,|1,|1,|1,|1,
2,|1,|1,|2,7|2,|2,|2,|2,|2,|2,6|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|2,|1,|1,|1,|1,
2,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|2,|1,|1,|1,|1,
2,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|2,|1,|1,|1,|1,
2,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|2,|1,|1,|1,|1,
2,10|2,|2,|2,|2,|2,|2,|2,|2,|2,|2,|2,|2,|2,|2,|2,|2,|2,|2,|2,|2,11|1,|1,|1,|1,
1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,
1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,
1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,|1,
